id,prompt,refs,model,quality,resolution,aspectRatio
封面-hk-undercover,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《港式卧底线琳嘉》绘制封面插画：葵涌码头的深夜，集装箱阵列之间，探照灯的光柱扫过，咸腥的海雾弥漫。乃琳一手垂下握着枪，另一手按住嘉然的手腕，两人在光柱边缘对视，港产警匪片的紧张氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-love-over-gold,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《情比金坚》绘制封面插画：温暖的午后室内，两个人凑在一起低头研究手心里的小金豆和一只招财猫摆件，桌上摊着金价页面和计算器，表情认真得像在做大生意，轻松可爱的日常喜剧感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-always-summer,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《季节总是夏季》绘制封面插画：南方夏日的暴雨街头，两人挤在屋檐下躲雨，空气潮湿，雨帘如幕，乃琳抬手轻轻按住嘉然头顶那根竖起来的呆毛，两人距离很近，雨夜霓虹的湿润氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-amber-sunlight,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《琥珀日光》绘制封面插画：香港老式公寓的午后，阳光穿过窗棂，阳台上晾着刚晒过的被子，桌上摆着一块插着金色小蜡烛的草莓蛋糕，两人并排坐在窗边，琥珀色的暖光，安静治愈。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-forum-body,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《我求你们别麦了》绘制封面插画：一间画室的窗边，棕色头发的画家嘉然站在画架前，窗外城市街口全是闪烁的相机闪光灯和围观人群，白发的女明星乃琳戴着墨镜靠在门框上，都市明星轻喜剧感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-bad-cat,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《坏猫》绘制封面插画：深夜的卧室，床头一盏暖黄色小夜灯，窗帘挡住了月亮，嘉然缩在被子里翻了个身，手机屏幕亮着贴在耳边，画面另一侧是乃琳在夜色中打电话的侧影，安静的深夜感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-piano,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《琴》绘制封面插画：老式住宅的房间里摆着一架粉色的立式钢琴，年少的姐姐嘉然坐在琴凳上弹琴，妹妹乃琳站在旁边替她翻谱，午后光线柔和，画面温暖里透着一丝说不出的忧伤。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-damp,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《潮湿》绘制封面插画：潮湿阴暗的封闭房间，地面积着浅浅的水，墙上写满看不清的字。一位拥有九条狐尾的少女与另一位蓝眸少女分立在房间两端对峙，空气黏稠，东海异兽的诡秘氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-first-wisdom-tooth,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《初智齿》绘制封面插画：凌晨的女生卧室，台灯昏黄，嘉然捂着腮帮子皱着眉坐在床边，乃琳端着一杯温水蹲在她面前抬头看她，青春期的深夜日常。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-growing-pains,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《生长痛》绘制封面插画：夜间行驶的车内，路灯光一盏盏掠过车窗，开车的乃琳目视前方，副驾驶座上的嘉然已经睡着了。春节返乡的深夜公路，安静温暖。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-little-fool,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《小愚蠢》绘制封面插画：午后空旷的教室里，两个穿高中校服的女生凑在一台廉价粉色磁带机前，各戴着一只耳机，阳光从窗外斜照进来，青春校园的甜味。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-again,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《再》绘制封面插画：演出结束后的空旷场馆，一人还站在舞台中央的麦克风前背对着观众席，另一人独自坐在看台最后一排的阴影里，顶灯只亮着一盏，沉默与距离感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-mixed,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《混合》绘制封面插画：没有出口的诡秘房间，墙上整齐挂着枪械、刀具与药瓶的剪影。一位九条狐尾的少女与一位蓝眸少女分坐房间两侧互相注视，谁也不先动，紧张而克制的对峙感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-destiny,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《命运》绘制封面插画：黄昏的室内，逆光中的两个人静静地相拥，棕发的嘉然把脸埋进乃琳的颈窝，乃琳低头看着她的发顶，光线柔软，像一句还没说出口的告白。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-skim-milk,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《脱脂牛奶》绘制封面插画：清晨的校园走廊，阳光透过窗格，乃琳拎着一盒牛奶和一袋早餐快步走来，嘉然靠在教室门口揉着眼睛等她，青梅竹马的学生时代，清爽明亮。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-our-own-time,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《独属于你我的时间》绘制封面插画：深夜十一点多的街道，月亮藏在云后，路灯把人影拉得很长，两个人并肩慢慢往前走，前后都没有别人，安静温柔的夜行氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-sunset-glow,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《落日》绘制封面插画：冬天的海边，夕阳摇摇欲坠，海浪一波波拍上沙滩。乃琳一个人站在浅水里望着海平线，嘉然从沙滩那头朝她走过来，橘红色的落日把整片海滩染暖。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-comfort,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《安慰》绘制封面插画：深夜的直播室，电脑屏幕的冷光照着一张还挂着泪的脸，嘉然独自坐在椅子上。门口透进一道暖光，乃琳推门进来，温柔治愈的深夜场景。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-harmless-lamb,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《无害的羊羔》绘制封面插画：宿舍的沙发前，暖黄灯光像糖霜一样铺开，嘉然撒娇般地靠上乃琳的肩膀闭起眼睛。乃琳低头看着她，笑容温柔，视线里却藏着一丝捉摸不透的分量。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-wind-and-moon,图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《风月》绘制封面插画：夜总会打烊后的后台化妆间，一整排镜灯还亮着，白发的乃琳坐在镜前，妆有些花了，手里捏着用凉了的化妆棉，镜中映出她卸下表演后疲惫而安静的脸。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-doldrums,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《无风带》绘制封面插画：梅雨季的储物间，空气潮湿，嘉然蹲在地上捧着一本透明封壳发黄、边角翘起的旧活页本，脚边散落着旧照片与除湿袋，乃琳的身影静静站在门口。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-lingering-warmth,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《余温》绘制封面插画：极寒末日里一间破损的避难屋，窗外是无边的雪原与灰白天空，两人裹着厚重的衣物挨在一盏微弱的取暖灯旁，冷蓝的色调里只有一点橙红的光，苍凉又相互依靠。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-like-salt,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《如盐》绘制封面插画：普通的傍晚厨房，锅里冒着热气，一人切菜一人递调料，两人都不说话却很自然，暖黄的灯光下是最平常的一顿饭，细腻的生活质感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-with-you-enough,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《有着你便可》绘制封面插画：冬天的动捕室落地窗前，天色沉成一片深蓝，玻璃上映着两个人的轮廓，白发的乃琳把手指贴在冰凉的玻璃上，嘉然站在她旁边，夜色与室内暖光交界。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-half-hour-drive,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《半小时车程》绘制封面插画：黎明前的沿海公路，一辆车的车灯切开黑暗，远处海平线已经泛起一线橘红，两个人靠在车边等日出，凌晨出逃的自由感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-homeward,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《归途》绘制封面插画：凌晨三点的直播室，屏幕还停在电影谢幕的字幕上，嘉然侧躺在沙发上睡着，手里还捏着没拆的零食，头顶暖灯洒下来。乃琳蹲在沙发边，轻轻把外套盖上去。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-crayfish,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《小龙虾拯救世界》绘制封面插画：夏夜的酒店房间，桌上摊着一大盆小龙虾、一次性手套和几罐啤酒，嘉然趴在床上刷手机，乃琳坐在窗边翻一本武汉旅游指南，灯火通明，轻松搞笑的夜宵氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-a-soulmate,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《一款Soulmate》绘制封面插画：舞蹈室的整面镜子前，两个人并排站着做同一个动作，镜中与镜外的身影几乎重合，光线干净柔和，默契而安静的亲密感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-zhijiang-flash,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《枝江闪景》绘制封面插画：冬夜落下细小的雪，雪花还没落地就化了。乃琳拎着一袋便利店买的烟花站在门口，嘉然刚打开门、头发乱乱的，室内透出暖黄的灯光，冬夜与暖意的对比。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-are-you-crayfish,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《你燕京虾吗》绘制封面插画：夏夜酒店房间的沙发上，桌上堆满小龙虾壳和空啤酒罐，空调开得很足，一人已经瘫软地陷进沙发闭起眼睛，另一人笑着看她，慵懒的夏日深夜。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-rainy-night,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《雨夜》绘制封面插画：十月的冷雨敲在厨房的玻璃窗上，窗沿微微发颤，灶上熬着的粥冒着白汽，一人守着锅，另一人靠在门边，室内暖气与窗外寒意形成对比，温柔的秋夜。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-astringent,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《收敛水》绘制封面插画：暴雨将至的哥特式学院，钟楼与尖顶压在阴沉的天幕下，一位穿学院制服的棕发少女撑着黑伞站在台阶上，另一人隔着雨幕望向她，神秘学与复古学院的氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-fall,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《落》绘制封面插画：开阔的射击训练场，风很大，长草伏向一侧。乃琳俯在观测镜后记录数据，远处的射击位上嘉然正把一发子弹推入枪膛，黄昏的天光把两人的剪影拉长。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-chongqing-trip,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《重庆游》绘制封面插画：重庆的夜晚天台，脚下是层叠的楼宇与横跨江面的桥，霓虹和车灯连成河，两人并肩趴在栏杆上看江景，山城夜色，旅行中的放松感。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-anchor-on-keys,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《琴键上的锚点》绘制封面插画：昏暗空间里一架三角钢琴，琴键泛着微光，一人按着琴键低头不语，另一人靠在琴边看着她，冷色调里透出彼此依靠的温度，安静而有力量。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-handler,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《卧底然与联络员琳》绘制封面插画：警署老楼的水泥楼梯间，逆光从高窗斜射下来，白发的乃琳站在上一级台阶递出一个牛皮纸信封，年轻的嘉然仰头接过，两人之间保持着规矩的距离，冷静克制。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-local-drizzle,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《局部小雨》绘制封面插画：傍晚的休息室，窗外下着小雨，一人刚摘下一边耳机转过身来看着旁边坐着休息的另一人，室内安静，只听得见雨声和没关的伴奏。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
